OTUId,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1182,Unclassified,,,,,,
OTU_507,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
OTU_427,Bacteria,GN02,BD1-5,,,,
OTU_778,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,
OTU_911,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,
OTU_10,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],WAL_1855D,
OTU_43,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,
OTU_619,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,parvula
OTU_1029,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
OTU_48,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,anaerobius
OTU_995,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_926,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
OTU_126,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister,
OTU_61,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,
OTU_390,Bacteria,Firmicutes,Clostridia,Clostridiales,[Mogibacteriaceae],,
OTU_1866,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
OTU_107,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
OTU_1249,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
OTU_1325,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
OTU_217,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,
OTU_239,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,
OTU_178,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,
OTU_110,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
OTU_251,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,
OTU_227,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],tannerae
OTU_453,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Parvimonas,
OTU_100,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,
OTU_1261,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,
OTU_593,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,amylovorum
OTU_90,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
OTU_1138,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,
OTU_105,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
